STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SEN,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,60.0,A,Annual,Senegal,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TUR,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,13.3,A,Annual,Türkiye,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ETH,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,68.4,A,Annual,Ethiopia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MMR,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,51.2,A,Annual,Myanmar,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NAM,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,28.2,A,Annual,Namibia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MWI,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,12.6,A,Annual,Malawi,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,HTI,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2017,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,16.6,A,Annual,Haiti,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2017,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,32.0,A,Annual,Indonesia,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NPL,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2016,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,28.5,A,Annual,Nepal,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AZE,WB_WDI_SG_VAW_REAS_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2006,_Z,RATIO,2,WB_WDI,P1Y,Women who believe a husband is justified in beating his wife (any of five reasons) (%),0,WB_WDI,PU,49.0,A,Annual,Azerbaijan,Women who believe a husband is justified in beating his wife (any of five reasons) (%),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
