REF_AREA_LABEL,OBS_VALUE,TIME_PERIOD,Area
"Gambia, The",0.850629985332489,2013,youth literacy
Liberia,0.754626929759979,2013,youth literacy
Mauritania,0.916840016841888,2013,youth literacy
Namibia,1.04173171520233,2013,youth literacy
Nigeria,0.821051418781281,2013,youth literacy
Senegal,0.814189970493317,2013,youth literacy
Sierra Leone,0.788110017776489,2013,youth literacy
Angola,0.831759989261627,2014,youth literacy
Burundi,0.878870010375977,2014,youth literacy
Burkina Faso,0.771749973297119,2014,youth literacy
Cote d'Ivoire,0.795610010623932,2014,youth literacy
Ghana,0.917516708374023,2014,youth literacy
Guinea,0.653150022029877,2014,youth literacy
Guinea-Bissau,0.698329985141754,2014,youth literacy
Kenya,0.990769982337952,2014,youth literacy
Lesotho,1.15283000469208,2014,youth literacy
Malawi,0.930800020694733,2014,youth literacy
Rwanda,1.02838003635406,2014,youth literacy
Senegal,0.804728031158447,2014,youth literacy
Togo,0.763796448707581,2014,youth literacy
Tunisia,0.991609990596771,2014,youth literacy
South Africa,1.00406002998352,2014,youth literacy
Zimbabwe,1.06006002426147,2014,youth literacy
Cabo Verde,1.01160001754761,2015,youth literacy
"Gambia, The",0.910989999771118,2015,youth literacy
Mali,0.647790014743805,2015,youth literacy
Mozambique,0.792580008506775,2015,youth literacy
Malawi,1.01217997074127,2015,youth literacy
Rwanda,1.01726150512695,2015,youth literacy
Chad,0.501460015773773,2015,youth literacy
Togo,0.873969972133636,2015,youth literacy
Tanzania,0.972739994525909,2015,youth literacy
South Africa,1.00548994541168,2015,youth literacy
"Congo, Dem. Rep.",0.87635999917984,2016,youth literacy
Ethiopia,0.694763362407684,2016,youth literacy
Chad,0.550149977207184,2016,youth literacy
Burundi,0.940509974956512,2017,youth literacy
"Egypt, Arab Rep.",0.970130026340485,2017,youth literacy
Ethiopia,0.978940010070801,2017,youth literacy
Liberia,0.702600002288818,2017,youth literacy
Mozambique,0.847649991512299,2017,youth literacy
Senegal,0.840250015258789,2017,youth literacy
South Africa,1.03219997882843,2017,youth literacy
Burkina Faso,0.852630019187927,2018,youth literacy
Central African Republic,0.600499987602234,2018,youth literacy
Cameroon,0.939469993114471,2018,youth literacy
Algeria,0.996500015258789,2018,youth literacy
Eritrea,0.988229990005493,2018,youth literacy
Guinea,0.624199986457825,2018,youth literacy
Madagascar,0.982659995555878,2018,youth literacy
Mali,0.750400006771088,2018,youth literacy
Nigeria,0.836749970912933,2018,youth literacy
Rwanda,1.04718005657196,2018,youth literacy
Sudan,1.01333999633789,2018,youth literacy
South Sudan,0.978190004825592,2018,youth literacy
Tunisia,1.0470358133316,2018,youth literacy
Uganda,1.01249003410339,2018,youth literacy
Burkina Faso,0.851629972457886,2019,youth literacy
Central African Republic,0.65741103887558,2019,youth literacy
Cote d'Ivoire,0.823239982128143,2019,youth literacy
Algeria,1.23015689849854,2019,youth literacy
Liberia,0.833236753940582,2019,youth literacy
Senegal,0.856802582740784,2019,youth literacy
Sierra Leone,0.81524384021759,2019,youth literacy
Sao Tome and Principe,1.09689700603485,2019,youth literacy
Chad,0.397658288478851,2019,youth literacy
Togo,0.912280023097992,2019,youth literacy
South Africa,1.00853002071381,2019,youth literacy
Zimbabwe,1.11795163154602,2019,youth literacy
Central African Republic,0.612200021743774,2020,youth literacy
Cameroon,0.945840001106262,2020,youth literacy
Ghana,0.99753999710083,2020,youth literacy
Mali,0.696250021457672,2020,youth literacy
Mozambique,0.84375,2020,youth literacy
Malawi,1.43077409267426,2020,youth literacy
Rwanda,1.00657963752747,2020,youth literacy
Eswatini,1.02390003204346,2020,youth literacy
Seychelles,1.0110399723053,2020,youth literacy
Zambia,0.99251002073288,2020,youth literacy
"Congo, Rep.",0.933210015296936,2021,youth literacy
Guinea,0.688210010528564,2021,youth literacy
Madagascar,0.955361247062683,2021,youth literacy
Mauritania,0.962909996509552,2021,youth literacy
Mauritius,1.00541996955872,2021,youth literacy
Namibia,1.02235996723175,2021,youth literacy
Rwanda,1.07641005516052,2021,youth literacy
South Africa,1.0160299539566,2021,youth literacy
Angola,0.939459979534149,2022,youth literacy
Burundi,0.991379976272583,2022,youth literacy
Benin,0.802990019321442,2022,youth literacy
Burkina Faso,0.930169999599457,2022,youth literacy
"Congo, Dem. Rep.",0.940739989280701,2022,youth literacy
Comoros,1.02586996555328,2022,youth literacy
Cabo Verde,1.01007997989655,2022,youth literacy
"Egypt, Arab Rep.",0.989430010318756,2022,youth literacy
Gabon,1.04286003112793,2022,youth literacy
"Gambia, The",1.12796998023987,2022,youth literacy
Guinea-Bissau,0.830900013446808,2022,youth literacy
Kenya,1.01725995540619,2022,youth literacy
Lesotho,1.12322998046875,2022,youth literacy
Morocco,0.997870028018951,2022,youth literacy
Madagascar,0.998139977455139,2022,youth literacy
Malawi,1.07729005813599,2022,youth literacy
Niger,0.723299980163574,2022,youth literacy
Senegal,0.928529977798462,2022,youth literacy
Sierra Leone,0.952409982681274,2022,youth literacy
Somalia,0.8473100066185,2022,youth literacy
Sao Tome and Principe,1.00416994094849,2022,youth literacy
Chad,0.740279972553253,2022,youth literacy
Tunisia,1.00153005123138,2022,youth literacy
Tanzania,1.01693999767303,2022,youth literacy
Uganda,1.02558994293213,2022,youth literacy
Zimbabwe,1.08395004272461,2022,youth literacy
