REF_AREA_LABEL,Year of First Value_parliament,First Value_parliament,Year of Last Value_parliament,Last Value_parliament,Area_parliament,Change_parliament,Year of First Value_land,First Value_land,Year of Last Value_land,Last Value_land,Area_land,Change_land,Year of First Value_savings,First Value_savings,Year of Last Value_savings,Last Value_savings,Area_savings,Change_savings,Year of First Value_youth literacy,First Value_youth literacy,Year of Last Value_youth literacy,Last Value_youth literacy,Area_youth literacy,Change_youth literacy,Year of First Value_refuse sex,First Value_refuse sex,Year of Last Value_refuse sex,Last Value_refuse sex,Area_refuse sex,Change_refuse sex,Year of First Value_belief beating,First Value_belief beating,Year of Last Value_belief beating,Last Value_belief beating,Area_belief beating,Change_belief beating,Year of First Value_family planning,First Value_family planning,Year of Last Value_family planning,Last Value_family planning,Area_family planning,Change_family planning
Guinea,2000,8.7719298245614,2022,29.6296296296296,parliament,20.8576998050682,2012.0,9.405555555555557,2018.0,9.177777777777775,land,-0.2277777777777814,2011.0,2.08,2021.0,3.44,savings,1.3599999999999999,2003.0,0.572950005531311,2021.0,0.688210010528564,youth literacy,0.11526000499725297,2005.0,46.29444444444445,2018.0,39.03333333333333,refuse sex,-7.26111111111112,2005.0,85.6,2018.0,67.2,belief beating,-18.39999999999999,2005.0,29.3,2018.0,33.0,family planning,3.6999999999999993
Guinea-Bissau,2000,7.84313725490196,2022,13.7254901960784,parliament,5.882352941176441,,,,,,,,,,,,,2000.0,0.613669991493225,2022.0,0.830900013446808,youth literacy,0.21723002195358299,,,,,,,,,,,,,,,,,,
Kenya,2000,3.57142857142857,2022,23.4285714285714,parliament,19.85714285714283,2014.0,13.405555555555557,2022.0,8.516666666666667,land,-4.888888888888889,2011.0,19.2,2021.0,15.15,savings,-4.049999999999999,2000.0,0.985350012779236,2022.0,1.01725995540619,youth literacy,0.031909942626954124,2003.0,60.96944444444445,2022.0,40.71666666666667,refuse sex,-20.25277777777778,2003.0,67.9,2022.0,32.4,belief beating,-35.50000000000001,2003.0,58.9,2014.0,76.8,family planning,17.9
Lesotho,2000,3.79746835443038,2022,26.4462809917355,parliament,22.64881263730512,2014.0,9.077777777777778,2014.0,9.077777777777778,land,0.0,2011.0,7.16,2022.0,13.74,savings,6.58,2000.0,1.12995994091034,2022.0,1.12322998046875,youth literacy,-0.006729960441590022,2004.0,63.78055555555555,2014.0,64.98333333333333,refuse sex,1.2027777777777828,2004.0,48.3,2014.0,33.3,belief beating,-15.0,2004.0,54.6,2014.0,76.5,family planning,21.9
Liberia,2000,7.8125,2022,10.958904109589,parliament,3.1464041095889996,2020.0,4.855555555555556,2020.0,4.855555555555556,land,0.0,2011.0,11.1,2021.0,7.25,savings,-3.8499999999999996,2007.0,0.585810005664825,2019.0,0.833236753940582,youth literacy,0.24742674827575706,2007.0,65.0611111111111,2020.0,72.41666666666667,refuse sex,7.3555555555555685,2007.0,59.3,2020.0,37.0,belief beating,-22.299999999999997,2007.0,24.3,2020.0,42.7,family planning,18.400000000000002
Libya,2005,4.73684210526316,2022,16.4705882352941,parliament,11.73374613003094,,,,,,,2017.0,9.91,2017.0,9.91,savings,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,2000,8.0,2022,18.5430463576159,parliament,10.5430463576159,2021.0,14.22777777777778,2021.0,14.22777777777778,land,0.0,2011.0,1.46,2022.0,4.03,savings,2.5700000000000003,2000.0,0.938499987125397,2022.0,0.998139977455139,youth literacy,0.0596399903297421,2004.0,70.16944444444444,2021.0,87.48333333333333,refuse sex,17.313888888888897,2004.0,28.0,2021.0,40.6,belief beating,12.600000000000001,2004.0,52.6,2021.0,77.3,family planning,24.699999999999996
Malawi,2000,9.32642487046632,2022,22.9166666666667,parliament,13.59024179620038,2016.0,19.572222222222223,2016.0,19.572222222222223,land,0.0,2011.0,8.89,2021.0,6.01,savings,-2.880000000000001,2010.0,0.94226998090744,2022.0,1.07729005813599,youth literacy,0.13502007722855014,2000.0,50.736111111111114,2016.0,66.13333333333334,refuse sex,15.397222222222226,2000.0,35.7,2016.0,16.3,belief beating,-19.400000000000002,2000.0,50.6,2016.0,76.0,family planning,25.4
Mali,2000,12.2448979591837,2022,28.5714285714286,parliament,16.326530612244902,2013.0,13.36111111111111,2018.0,10.716666666666669,land,-2.644444444444442,2011.0,3.33,2021.0,11.23,savings,7.9,2006.0,0.650030016899109,2020.0,0.696250021457672,youth literacy,0.04622000455856301,2001.0,32.708333333333336,2018.0,22.566666666666663,refuse sex,-10.141666666666673,2001.0,88.8,2018.0,79.4,belief beating,-9.399999999999991,2001.0,21.4,2018.0,42.0,family planning,20.6
Mauritania,2000,3.79746835443038,2022,20.2614379084967,parliament,16.46396955406632,2021.0,2.0,2021.0,2.0,land,0.0,2011.0,5.12,2022.0,4.89,savings,-0.23000000000000043,2000.0,0.819159984588623,2021.0,0.962909996509552,youth literacy,0.14375001192092896,2021.0,58.45,2021.0,58.45,refuse sex,0.0,2021.0,27.1,2021.0,27.1,belief beating,0.0,2001.0,19.9,2021.0,31.5,family planning,11.600000000000001
Mauritius,2000,5.71428571428571,2022,20.0,parliament,14.28571428571429,,,,,,,2011.0,27.06,2021.0,27.56,savings,0.5,2000.0,1.01719999313354,2021.0,1.00541996955872,youth literacy,-0.011780023574819998,,,,,,,,,,,,,,,,,,
Morocco,2000,0.615384615384615,2022,24.0506329113924,parliament,23.435248296007785,,,,,,,2017.0,2.64,2021.0,6.07,savings,3.43,2004.0,0.748650014400482,2022.0,0.997870028018951,youth literacy,0.24922001361846902,2004.0,30.241666666666667,2004.0,30.241666666666667,refuse sex,0.0,2004.0,63.9,2004.0,63.9,belief beating,0.0,2004.0,84.1,2004.0,84.1,family planning,0.0
Mozambique,2000,30.0,2022,42.4,parliament,12.399999999999999,2011.0,17.88888888888889,2015.0,17.633333333333333,land,-0.2555555555555564,2017.0,8.82,2021.0,6.1,savings,-2.7200000000000006,2003.0,0.672919988632202,2020.0,0.84375,youth literacy,0.17083001136779796,2003.0,55.30833333333333,2015.0,41.88333333333333,refuse sex,-13.424999999999997,2003.0,54.1,2023.0,18.7,belief beating,-35.400000000000006,2003.0,43.4,2015.0,53.9,family planning,10.5
